Sex,Age,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
M,16,5,87,Yes,6,1,720
F,18,6,78,Yes,8,4,680
F,18,4,49,Yes,5,0,290
M,15,9,83,Yes,8,2,780
M,17,8,56,Yes,5,2,450
M,14,1,46,No,7,2,200
F,19,2,93,Yes,4,2,660
M,14,9,79,No,4,7,770
F,17,8,78,No,7,0,720
F,15,3,43,Yes,5,5,260
M,18,8,74,No,7,5,670
F,19,1,90,Yes,5,0,670
F,16,4,86,No,7,0,680
F,18,3,75,No,7,2,560
F,18,6,70,Yes,7,7,610
M,18,7,64,No,4,5,500
F,19,4,80,No,5,3,680
F,14,7,52,No,9,4,470
M,17,9,57,No,7,9,560
F,16,2,60,No,8,2,400
M,18,3,87,No,8,5,680
F,15,5,40,No,4,5,260
M,14,3,75,No,6,5,550
M,14,8,89,Yes,9,8,840
M,18,8,47,No,4,9,400
M,16,8,91,Yes,6,7,850
F,15,9,87,Yes,4,5,850
M,19,4,60,No,8,1,400
M,17,5,82,No,7,3,680
M,14,5,91,Yes,5,5,740
M,18,8,92,Yes,7,8,900
F,18,7,92,Yes,8,1,820
F,15,9,60,No,5,5,570
M,14,8,66,No,6,9,610
M,17,2,58,No,6,9,380
M,18,4,62,Yes,8,9,460
F,16,6,90,No,5,6,800
M,18,2,89,No,7,7,670
M,14,7,90,No,8,8,840
F,14,3,82,No,6,4,580
F,19,3,74,Yes,8,8,550
F,17,2,79,No,7,8,570
F,19,8,91,No,4,6,870
F,17,6,90,Yes,9,1,800
F,19,1,81,No,9,7,540
M,15,1,87,Yes,9,4,640
M,16,7,44,Yes,4,7,330
F,15,8,91,No,7,1,830
F,17,5,80,Yes,5,6,660
F,15,5,47,No,8,4,330
M,19,4,50,Yes,7,3,310
F,17,6,55,Yes,4,9,400
M,19,6,78,No,6,5,660
M,14,3,86,Yes,9,4,670
F,15,9,63,No,9,5,640
F,19,7,60,No,7,8,520
M,19,1,91,No,9,0,680
M,17,7,62,No,9,0,580
F,18,5,88,Yes,7,5,720
M,18,5,77,No,7,1,650
M,19,2,86,Yes,4,7,650
M,17,4,47,No,4,6,240
M,15,6,46,Yes,9,5,350
F,17,7,41,Yes,7,3,340
M,19,5,69,Yes,7,8,570
F,14,9,52,Yes,9,6,540
M,19,3,62,No,5,6,420
F,14,1,68,No,6,4,390
M,17,4,77,Yes,8,0,620
F,18,9,76,Yes,8,1,710
M,19,4,59,No,9,7,420
M,16,2,72,Yes,8,4,520
M,17,5,68,Yes,4,1,540
M,14,3,89,No,4,4,680
M,18,9,54,Yes,5,7,500
F,15,4,62,Yes,9,3,460
M,19,6,81,No,4,2,680
F,15,2,42,Yes,9,4,190
F,19,6,76,No,9,6,680
M,15,3,95,No,7,1,740
F,18,9,68,No,6,0,630
M,14,2,84,No,6,4,600
M,16,9,47,Yes,9,6,470
M,14,5,61,No,6,7,470
F,15,8,92,No,6,7,870
F,18,2,68,Yes,8,9,450
M,19,6,41,No,8,8,310
F,14,3,80,Yes,7,0,610
M,16,5,88,No,5,6,730
M,15,8,98,No,4,9,920
F,17,1,89,No,4,7,650
M,15,5,84,No,8,5,690
F,18,3,40,Yes,9,9,200
F,14,4,83,Yes,6,3,660
F,16,2,59,Yes,7,6,380
F,19,9,91,No,5,2,810
F,19,3,60,No,8,1,390
M,14,2,76,No,9,5,530
F,19,9,47,Yes,7,1,440
M,17,7,66,No,9,5,580
M,14,6,86,Yes,7,9,790
M,19,1,98,Yes,8,2,750
F,19,5,74,Yes,7,1,590
M,17,3,45,No,6,7,230
F,18,1,99,No,7,3,740
M,16,4,84,No,5,3,650
M,16,2,83,No,7,6,600
F,14,2,58,Yes,4,7,320
F,18,3,57,Yes,7,8,380
F,19,8,95,No,9,9,910
M,18,8,40,No,8,7,340
F,15,7,64,No,4,3,460
F,14,6,66,Yes,8,1,550
M,19,9,46,No,9,9,430
M,14,4,83,Yes,5,4,670
M,18,1,81,Yes,6,6,560
M,15,8,68,Yes,5,1,580
F,19,7,70,Yes,4,3,600
M,14,7,83,Yes,9,5,770
F,17,3,82,Yes,9,7,690
F,14,4,75,Yes,6,9,600
M,15,9,58,No,7,5,520
F,18,6,45,No,4,5,360
M,14,5,64,No,6,5,490
M,19,3,70,Yes,8,3,500
M,14,9,48,Yes,6,2,480
F,18,5,59,No,8,0,430
F,15,5,49,Yes,8,1,340
F,19,4,76,Yes,9,1,570
F,15,4,66,Yes,6,9,500
F,17,1,52,Yes,9,6,280
F,14,7,80,Yes,9,5,720
F,15,9,41,Yes,5,7,380
F,15,3,89,Yes,5,8,680
M,14,2,60,Yes,9,4,410
F,14,3,72,Yes,9,2,530
M,19,1,63,Yes,8,3,360
F,19,6,92,Yes,9,7,800
F,17,7,83,Yes,4,2,730
F,16,2,81,No,6,1,590
F,14,8,73,Yes,4,6,670
M,17,6,99,Yes,5,3,910
F,19,4,48,No,4,7,340
F,19,5,41,No,7,0,230
F,16,8,94,No,7,7,860
F,16,3,95,Yes,5,4,730
M,19,3,69,Yes,4,1,490
F,18,4,61,No,6,0,430
M,15,1,85,No,5,5,610
F,17,9,50,No,7,8,450
F,19,8,94,Yes,5,8,850
M,16,8,82,Yes,4,8,750
F,15,6,56,No,4,3,440
F,15,7,75,Yes,4,5,660
M,14,6,52,Yes,8,9,450
M,17,9,46,No,4,5,400
M,14,3,55,No,9,4,380
F,14,3,72,No,7,1,500
F,18,3,84,Yes,7,6,670
F,15,3,40,Yes,8,0,210
M,16,9,50,Yes,7,5,510
M,18,4,45,Yes,7,4,250
F,14,7,59,Yes,5,4,530
F,15,9,74,No,4,7,710
M,15,7,83,Yes,9,8,770
F,14,9,76,Yes,9,6,750
F,17,3,80,No,5,9,600
F,15,4,65,No,9,7,490
M,18,8,97,No,5,1,870
M,14,6,51,No,9,1,400
F,17,5,69,Yes,7,7,560
F,18,4,67,Yes,6,5,490
F,14,8,66,No,4,7,590
M,16,1,81,Yes,6,8,590
F,17,9,58,No,7,8,540
M,17,1,44,Yes,8,5,170
F,15,8,97,Yes,5,7,900
F,18,4,44,Yes,9,1,230
F,19,9,80,No,9,7,820
F,16,5,66,No,7,2,490
F,17,3,67,Yes,9,0,500
M,15,9,65,Yes,7,6,600
M,14,9,66,No,6,0,600
F,15,4,91,No,8,0,740
F,15,4,88,Yes,5,0,710
F,18,8,81,Yes,9,3,770
M,19,2,60,No,8,3,340
F,16,9,40,Yes,8,9,390
M,17,6,93,No,8,5,850
F,17,9,67,No,4,9,640
M,19,8,87,Yes,8,2,870
M,17,7,97,Yes,7,9,910
F,15,1,97,Yes,4,5,730
M,18,3,54,No,4,6,340
F,19,2,94,No,8,0,700
F,15,5,56,No,9,5,420
F,17,5,65,Yes,9,9,550
M,17,5,59,Yes,9,0,450
F,14,4,64,No,9,6,490
M,14,5,52,No,7,9,370
M,16,3,72,Yes,9,4,550
F,15,1,64,No,5,9,380
M,14,5,47,Yes,8,3,350
M,15,9,44,Yes,4,0,410
F,18,9,45,No,5,8,430
M,15,4,62,No,9,6,460
F,17,3,91,No,5,1,690
M,16,1,69,No,4,3,370
F,15,2,53,No,9,3,310
F,14,8,93,Yes,5,7,900
M,15,1,62,No,7,1,330
F,19,8,50,Yes,7,4,440
F,16,7,70,No,8,9,620
F,18,8,45,No,8,7,410
F,17,6,50,No,5,5,380
F,19,9,52,No,4,3,450
M,15,3,51,No,7,4,340
M,15,4,93,No,6,1,720
M,14,6,41,Yes,8,4,290
M,19,8,92,No,7,2,830
M,16,5,74,No,9,2,610
F,16,3,94,No,5,6,750
M,19,6,75,No,7,2,630
F,15,4,56,Yes,7,3,360
F,15,9,67,Yes,5,6,620
M,16,3,67,Yes,8,2,490
F,16,4,61,Yes,8,9,460
F,17,7,77,Yes,6,9,690
M,17,7,46,Yes,6,1,350
F,19,4,54,No,8,9,380
F,19,6,71,No,8,6,620
F,19,3,50,Yes,8,4,300
M,17,6,63,No,8,0,520
M,15,2,42,No,7,9,160
F,17,8,69,No,6,7,660
F,17,2,45,No,5,2,200
F,14,7,97,No,4,6,860
F,19,9,41,Yes,5,5,380
F,17,1,53,Yes,9,9,300
M,15,8,80,Yes,4,5,710
F,19,7,57,Yes,7,7,490
F,17,6,90,Yes,9,3,790
M,19,6,83,Yes,6,3,690
M,15,6,70,No,4,2,560
M,16,9,52,Yes,8,0,470
M,17,2,65,No,9,9,410
F,18,1,83,No,7,2,580
F,19,6,51,Yes,4,0,380
F,16,8,57,Yes,8,5,520
M,16,3,48,Yes,9,7,250
M,17,1,88,No,7,2,620
F,16,9,60,Yes,9,3,600
M,17,1,87,Yes,4,4,630
F,19,3,88,Yes,8,6,720
M,14,8,92,No,6,5,840
F,14,3,95,Yes,7,1,740
M,19,4,79,Yes,4,6,610
F,19,8,82,No,8,7,770
M,19,1,63,No,6,0,360
F,17,6,73,No,9,5,650
M,14,1,47,Yes,8,8,230
F,16,1,83,Yes,6,6,600
F,18,8,92,No,4,4,830
M,15,4,72,Yes,8,9,560
M,18,1,62,No,8,9,370
F,17,7,52,No,5,8,430
F,15,5,93,No,7,1,760
F,16,5,92,No,8,6,830
F,18,1,88,No,6,8,630
F,17,6,53,Yes,7,1,390
M,14,9,53,Yes,4,9,480
F,16,9,55,Yes,7,5,530
F,18,8,88,Yes,5,8,840
M,19,5,77,No,4,2,630
F,17,1,97,Yes,8,7,730
M,18,9,99,No,9,4,990
F,14,1,78,No,4,6,520
F,18,8,65,Yes,4,2,580
M,19,5,65,Yes,5,7,500
M,19,3,40,No,6,1,180
M,15,7,71,Yes,4,7,620
F,18,7,96,Yes,6,1,870
F,15,9,54,Yes,7,6,530
M,17,7,91,Yes,9,1,870
M,19,3,60,No,5,6,370
F,19,1,57,No,8,0,310
F,17,8,69,Yes,4,5,630
F,19,3,99,No,9,9,810
M,18,8,97,No,9,6,950
F,14,8,52,Yes,6,3,450
M,17,5,63,Yes,4,0,480
M,16,1,69,No,9,5,470
M,17,7,41,No,5,3,310
F,14,5,58,No,8,2,430
M,17,8,86,Yes,7,3,820
M,19,9,83,No,7,5,800
F,15,7,86,No,6,4,760
F,14,7,64,Yes,9,1,570
M,16,1,89,No,7,1,640
F,17,4,53,Yes,6,2,350
F,14,2,45,Yes,8,5,240
F,19,2,51,No,4,0,300
F,18,2,59,Yes,5,6,380
F,14,4,62,Yes,8,7,450
M,19,1,69,No,8,6,440
M,19,4,69,Yes,7,2,530
F,16,2,77,No,7,5,530
F,16,5,97,Yes,5,3,840
F,17,3,69,Yes,4,4,470
M,15,8,80,No,8,2,760
M,16,4,69,No,9,4,570
M,16,1,96,No,7,5,710
M,18,1,97,Yes,8,7,740
F,17,3,75,No,4,5,540
M,16,9,88,Yes,6,8,840
M,17,7,73,No,4,9,620
M,16,2,55,Yes,8,9,350
F,17,9,63,No,8,9,620
F,19,2,53,Yes,5,9,300
M,19,3,65,No,8,3,470
F,15,2,47,Yes,7,1,250
M,18,3,53,Yes,9,8,400
M,15,6,70,Yes,5,2,560
M,18,9,41,Yes,8,6,380
F,16,9,87,No,4,3,860
M,14,7,43,Yes,8,0,380
F,18,3,40,No,4,7,170
M,15,4,94,Yes,4,3,750
M,16,6,59,No,8,5,480
M,14,5,98,Yes,4,6,870
M,16,2,53,Yes,9,7,320
M,18,6,79,No,6,9,680
M,14,3,64,No,5,1,420
F,17,8,99,Yes,8,8,960
M,15,2,64,No,6,9,420
M,14,1,42,No,4,2,180
M,16,9,44,No,4,0,410
M,17,3,77,Yes,5,1,540
M,15,1,93,No,6,7,670
F,15,7,65,Yes,6,9,570
M,18,5,79,No,8,5,650
M,17,5,77,No,4,0,620
M,18,1,77,Yes,7,8,560
F,14,9,43,No,8,6,390
F,16,7,46,No,8,9,380
M,16,8,69,No,8,2,650
M,16,9,69,No,5,6,680
M,19,6,95,No,5,5,820
F,18,5,58,No,8,2,440
F,16,6,78,No,9,7,670
M,18,2,74,Yes,7,0,530
F,18,4,79,Yes,6,4,610
F,17,3,72,Yes,6,7,530
F,18,7,72,Yes,4,2,610
M,15,9,53,Yes,6,9,490
F,17,5,77,No,6,5,610
F,16,6,49,Yes,7,9,380
M,17,2,96,Yes,6,1,760
M,15,3,67,No,7,8,470
F,16,3,53,Yes,5,1,320
F,18,9,75,No,7,4,710
F,14,7,77,No,5,2,690
M,17,8,55,Yes,7,9,530
M,17,9,99,Yes,8,8,1000
F,14,6,60,No,9,8,490
F,16,4,67,No,5,6,480
F,16,1,72,Yes,5,9,450
M,18,8,45,No,6,4,400
M,16,7,80,Yes,5,8,710
F,15,2,54,Yes,7,6,340
F,15,8,83,Yes,8,1,760
M,16,5,42,Yes,8,9,290
M,14,7,82,No,6,0,710
M,14,4,86,No,7,9,690
M,19,5,74,Yes,7,9,580
F,17,8,53,Yes,4,3,430
M,19,1,41,No,5,9,170
M,15,1,68,No,6,7,410
M,14,4,43,No,8,5,270
F,15,3,65,No,9,1,450
F,15,2,90,No,4,4,650
F,18,3,51,Yes,7,8,310
M,16,1,41,Yes,5,5,140
F,18,1,56,Yes,8,5,330
M,14,6,74,Yes,4,6,600
F,17,5,49,No,7,4,340
M,15,8,87,No,8,2,820
F,19,2,61,Yes,8,2,400
M,17,4,80,Yes,7,4,660
F,15,8,82,No,7,3,760
M,14,6,60,Yes,6,4,460
M,15,1,54,Yes,8,8,310
M,18,4,74,No,7,4,570
F,14,1,87,No,9,3,650
M,17,2,60,No,9,3,380
M,19,5,60,Yes,4,0,460
F,14,8,60,No,5,9,530
F,18,8,99,No,9,3,970
M,16,3,83,Yes,6,3,630
F,16,4,71,No,7,8,550
F,17,6,94,Yes,5,3,790
M,17,3,44,Yes,6,6,260
F,17,2,78,Yes,8,0,550
M,14,6,48,Yes,5,6,370
F,18,5,92,No,9,1,780
M,17,5,57,Yes,6,7,450
F,17,5,60,No,7,0,450
F,19,5,47,No,7,9,340
F,14,3,83,No,6,2,660
M,14,7,91,No,8,7,790
M,16,6,73,No,9,9,630
F,19,4,49,Yes,6,7,320
M,16,2,90,No,4,4,640
F,16,9,80,Yes,6,4,780
M,14,1,96,Yes,6,7,690
F,15,4,63,Yes,9,9,460
M,15,1,79,No,7,4,540
F,15,6,63,No,8,8,510
F,15,4,95,No,6,0,780
F,19,5,71,No,5,4,540
M,14,5,95,Yes,7,2,800
M,17,9,72,No,7,2,670
F,17,1,77,No,6,1,480
M,14,2,83,Yes,9,2,610
M,17,6,96,Yes,5,6,830
F,14,5,95,Yes,6,7,820
M,17,7,90,Yes,5,7,780
F,19,3,98,Yes,7,7,780
F,19,3,88,Yes,5,0,700
M,17,2,73,Yes,6,6,480
F,17,3,50,No,4,1,260
M,15,1,70,No,4,9,460
M,17,5,57,Yes,5,3,420
F,17,5,62,Yes,9,4,460
M,17,7,99,No,6,0,910
F,15,4,61,Yes,8,3,470
F,18,3,82,Yes,4,3,610
M,19,1,57,Yes,7,8,310
F,16,8,79,Yes,6,8,710
F,14,3,86,Yes,6,9,660
F,19,2,80,No,4,0,520
M,16,4,86,Yes,8,7,710
F,17,3,78,Yes,7,3,600
M,14,1,59,Yes,8,3,320
F,14,3,52,No,7,4,330
F,15,2,84,No,4,1,560
M,18,8,40,Yes,6,0,320
F,19,6,91,Yes,7,4,760
F,17,9,43,Yes,6,6,400
M,15,8,63,Yes,5,9,600
M,16,3,75,No,5,8,540
F,19,5,75,No,4,1,590
F,16,7,84,Yes,4,7,740
M,16,5,41,Yes,9,6,290
F,18,8,67,No,4,1,610
M,17,5,65,No,5,4,500
F,17,1,62,Yes,7,6,360
M,18,5,54,Yes,8,2,410
F,14,4,75,Yes,4,1,600
F,18,6,66,No,8,5,560
M,18,3,45,No,8,9,230
M,15,5,74,No,5,5,630
M,19,2,78,No,9,3,540
M,17,6,77,Yes,7,0,640
F,18,6,74,No,5,4,640
M,15,5,75,No,4,0,580
M,19,6,49,No,5,7,380
M,19,7,69,Yes,5,1,600
F,15,5,92,No,5,8,790
F,16,1,80,No,4,8,570
F,18,8,77,No,4,2,690
M,14,4,68,Yes,5,5,510
F,16,9,91,No,5,8,860
F,18,6,98,Yes,8,6,900
F,16,1,82,Yes,7,3,570
M,19,3,78,No,8,2,610
M,15,3,89,Yes,9,1,710
M,17,4,43,No,7,9,300
F,18,6,44,Yes,9,9,340
M,14,7,43,Yes,7,0,340
M,14,4,75,No,5,9,580
F,17,6,98,No,8,0,850
M,17,1,84,Yes,7,3,550
F,14,8,55,Yes,9,3,510
M,18,7,64,Yes,7,8,530
F,16,9,53,Yes,4,9,510
F,15,3,50,No,7,0,310
F,14,2,68,Yes,5,3,440
M,14,1,73,Yes,6,2,480
F,18,3,61,No,4,8,410
M,19,5,53,Yes,6,4,400
M,14,2,95,No,5,8,720
F,14,3,63,No,6,9,410
M,16,4,98,No,7,5,780
M,19,7,78,Yes,6,8,700
F,15,3,65,No,8,0,410
M,15,9,82,No,5,3,780
F,19,8,75,No,8,3,700
F,19,4,78,Yes,6,9,610
M,18,1,55,Yes,8,9,330
F,19,1,97,Yes,4,5,710
F,14,1,77,Yes,6,9,510
F,19,1,98,No,9,0,720
F,17,8,71,No,8,9,690
F,15,3,45,No,7,4,210
F,18,6,73,Yes,6,2,610
F,16,3,95,No,9,0,760
M,19,5,47,Yes,4,5,300
F,18,7,69,Yes,7,2,590
M,16,2,66,Yes,6,3,450
M,19,6,46,No,7,8,390
M,16,6,66,No,6,1,530
F,17,3,64,Yes,6,0,430
F,15,6,95,No,5,9,850
F,15,5,85,Yes,8,5,700
M,16,2,80,No,6,0,560
M,16,9,54,Yes,4,0,520
M,19,8,64,Yes,9,6,650
F,18,3,61,Yes,8,1,390
F,18,8,57,No,5,3,480
F,19,9,51,No,8,3,470
F,17,3,62,No,8,1,410
F,17,3,90,No,6,5,720
M,14,2,84,No,4,9,610
F,18,8,78,Yes,6,1,740
M,17,1,64,No,4,7,380
M,16,8,49,Yes,4,3,420
M,14,7,69,No,7,0,600
F,19,7,49,No,6,6,350
M,18,3,73,No,5,5,520
F,16,1,85,Yes,9,5,610
M,15,4,52,No,8,2,320
F,16,9,93,Yes,7,9,950
F,18,5,68,No,5,6,530
M,18,1,77,Yes,9,5,540
F,19,5,80,Yes,9,9,700
M,18,8,84,Yes,6,9,780
F,15,8,48,Yes,4,8,420
F,17,5,52,No,6,2,330
M,14,9,76,No,9,2,750
F,18,1,53,Yes,6,3,260
M,17,4,76,No,7,2,580
F,18,3,48,Yes,5,3,290
F,14,2,47,No,9,5,290
M,19,8,78,No,7,0,700
M,17,7,79,No,5,1,670
F,17,9,93,Yes,7,9,930
F,17,2,42,No,8,5,210
F,15,4,94,Yes,4,5,740
F,19,6,95,No,4,0,820
M,14,3,86,Yes,4,5,650
M,14,8,79,No,8,8,750
F,18,3,72,Yes,9,7,550
M,17,2,71,Yes,9,9,540
F,15,3,46,Yes,8,4,260
F,19,6,58,No,4,3,480
F,18,2,73,Yes,4,5,490
M,17,8,53,No,5,4,490
F,15,1,89,Yes,5,5,640
F,18,7,86,Yes,6,9,810
M,17,2,85,Yes,7,2,640
F,14,6,95,No,5,6,820
F,18,2,96,No,5,7,740
F,19,2,58,No,5,4,320
M,14,8,90,No,5,4,830
F,18,2,93,No,8,3,680
M,15,7,98,No,6,9,900
M,19,3,65,No,5,4,440
M,18,8,56,Yes,9,9,510
F,17,7,93,Yes,7,7,860
F,17,8,67,No,5,4,620
M,16,7,58,No,8,8,480
F,16,6,66,No,9,0,560
F,18,7,87,No,4,6,790
M,14,5,91,No,4,4,740
F,16,7,96,Yes,6,3,820
F,17,1,58,No,4,2,320
M,19,1,72,No,5,9,460
F,15,9,90,No,8,6,880
M,17,5,46,Yes,6,1,350
M,18,5,68,Yes,9,4,560
F,17,3,94,Yes,5,1,740
F,17,5,82,Yes,4,6,670
F,17,3,44,No,7,5,230
F,19,9,69,Yes,5,9,670
M,19,9,88,Yes,7,6,860
M,14,6,82,Yes,9,8,700
F,18,1,95,Yes,7,1,680
F,17,7,97,Yes,9,8,910
M,16,7,47,No,6,6,420
F,19,4,81,Yes,8,1,620
F,18,8,51,Yes,4,9,440
M,17,6,81,Yes,4,1,670
F,19,4,52,No,5,3,350
F,16,4,65,No,4,1,460
F,19,2,57,No,6,0,310
M,18,2,81,No,4,5,590
F,16,4,90,No,5,9,710
M,18,5,91,No,4,4,740
F,16,8,88,No,8,2,800
F,19,6,59,No,9,0,490
F,15,4,55,Yes,7,8,390
M,16,7,76,Yes,7,7,670
M,17,8,42,No,9,5,380
F,15,2,66,Yes,7,5,470
F,16,7,54,No,8,3,410
M,16,2,97,Yes,6,1,750
F,14,2,73,Yes,5,3,530
M,16,8,84,No,8,1,810
M,19,2,61,Yes,5,6,370
F,18,9,79,No,6,8,770
M,15,1,62,No,8,1,360
F,18,9,98,Yes,4,8,950
M,18,1,88,No,6,8,650
F,14,2,43,Yes,7,7,180
M,14,6,90,Yes,8,0,800
M,19,6,93,No,6,4,810
M,14,1,96,No,6,9,730
M,15,7,80,No,8,3,740
F,15,8,62,No,7,6,570
M,16,2,86,No,9,7,640
M,14,8,99,Yes,7,9,970
F,19,9,48,No,6,7,420
M,18,6,63,Yes,5,1,480
M,18,5,60,No,9,2,460
M,19,9,80,Yes,9,9,790
M,14,9,85,Yes,6,9,830
M,18,1,94,Yes,8,6,700
F,17,3,92,Yes,8,3,730
M,15,9,55,Yes,8,5,560
M,17,2,95,No,7,7,710
M,15,4,94,Yes,4,7,760
F,17,4,64,No,8,6,490
F,17,2,65,Yes,8,1,430
F,16,3,88,No,9,1,670
M,19,3,84,Yes,5,2,630
F,17,1,48,Yes,5,3,180
F,16,6,54,No,6,0,430
F,16,8,78,No,6,4,720
M,18,3,72,Yes,6,6,570
F,18,5,40,Yes,8,9,250
F,19,1,44,No,5,4,150
M,19,7,95,Yes,6,6,880
F,18,1,48,Yes,5,4,240
M,19,9,83,No,8,9,810
F,17,8,45,Yes,9,7,400
F,19,7,67,Yes,8,6,600
F,19,7,84,No,6,0,730
M,14,5,65,Yes,8,0,520
M,18,5,67,No,8,4,530
F,16,5,79,No,5,1,650
F,18,1,54,Yes,4,8,300
F,17,8,45,Yes,7,1,390
F,19,1,66,No,6,8,430
F,19,4,77,No,4,9,590
M,18,9,43,Yes,9,1,380
M,19,9,50,No,6,3,440
F,15,5,60,Yes,4,2,440
F,18,4,69,No,8,5,530
M,18,3,57,No,6,3,370
F,19,3,74,No,4,8,520
M,14,5,42,Yes,7,8,300
M,18,1,51,No,8,9,220
F,14,5,66,No,6,8,510
F,18,6,92,No,9,2,820
F,17,7,69,No,9,2,630
F,16,9,60,Yes,6,3,580
F,15,3,77,No,4,8,580
F,18,2,60,Yes,6,5,380
F,16,3,99,No,8,8,800
F,14,9,77,No,5,7,700
F,15,7,79,Yes,9,6,720
F,17,9,54,Yes,4,4,480
M,14,2,57,No,7,8,360
M,19,5,91,No,6,3,730
F,17,4,68,No,8,3,510
F,16,2,87,Yes,6,7,630
F,17,9,77,No,7,3,740
F,15,9,99,Yes,8,6,980
M,18,6,60,No,7,3,450
M,19,6,56,Yes,8,0,450
M,19,8,80,Yes,5,9,740
F,17,6,90,Yes,9,8,810
F,16,1,57,No,8,3,300
M,16,4,96,No,7,2,770
M,14,7,94,Yes,4,2,860
F,15,2,76,Yes,9,8,580
F,16,9,99,Yes,5,7,990
F,15,8,77,No,6,9,690
M,18,8,51,No,5,6,470
F,16,7,50,No,5,6,420
M,15,4,87,Yes,6,3,730
F,14,2,91,No,8,2,710
F,15,3,88,No,5,3,680
M,15,6,59,No,9,5,470
F,19,5,48,Yes,5,3,310
M,16,8,40,No,4,3,310
F,17,6,97,No,9,1,860
F,15,6,42,No,4,6,270
F,15,1,60,No,9,5,320
F,14,4,62,No,7,1,410
M,15,5,48,Yes,6,4,330
M,18,3,93,Yes,9,5,750
F,14,9,58,Yes,9,4,570
M,18,1,84,Yes,8,3,590
F,16,6,94,No,8,8,870
F,14,6,85,No,7,2,720
M,17,5,91,Yes,8,1,780
M,16,5,58,Yes,8,8,460
M,18,5,62,Yes,4,7,470
F,17,6,66,No,8,8,580
M,14,8,66,No,8,9,630
F,16,2,78,No,7,2,560
F,19,6,75,Yes,7,0,620
M,18,1,51,Yes,5,0,230
M,19,4,94,Yes,8,2,730
M,14,3,66,No,8,3,460
M,19,9,85,No,9,1,800
M,19,3,73,Yes,8,7,590
F,16,6,72,Yes,4,2,600
F,18,1,67,No,9,3,410
F,14,6,70,No,8,5,610
M,15,4,71,Yes,4,9,510
M,17,8,89,Yes,5,5,820
M,15,9,59,No,9,1,550
M,18,4,79,Yes,6,5,640
M,16,6,74,Yes,8,3,610
M,19,1,70,No,9,4,440
M,19,4,97,Yes,7,6,810
M,14,7,70,No,9,6,640
F,18,1,77,Yes,7,5,530
F,15,8,61,No,8,9,550
F,14,6,84,Yes,4,5,720
M,19,5,80,Yes,7,5,650
F,19,9,48,Yes,9,3,440
F,19,2,91,No,9,2,700
F,14,5,48,Yes,7,0,340
F,16,6,54,Yes,5,2,410
M,16,7,52,No,5,2,430
M,18,5,61,Yes,5,8,480
M,18,9,55,No,7,2,460
F,15,1,71,No,7,7,470
M,17,7,41,No,9,7,370
M,15,7,65,Yes,8,2,560
M,18,4,53,No,8,9,400
F,14,9,98,Yes,4,9,960
M,18,5,77,No,7,5,630
M,15,4,73,Yes,8,7,580
F,17,7,47,No,8,7,360
M,19,4,75,No,5,9,610
F,14,3,60,Yes,5,9,390
F,19,9,95,No,5,8,900
M,14,8,85,Yes,6,8,790
F,16,1,82,No,8,7,580
F,16,7,95,Yes,5,6,890
M,15,9,67,No,5,9,640
M,18,8,85,No,7,2,780
F,18,8,83,Yes,9,6,790
M,14,6,87,No,5,3,720
F,17,4,45,Yes,7,1,260
F,19,8,59,Yes,4,7,520
M,15,3,70,No,5,1,490
M,18,9,72,No,9,0,660
M,17,2,83,No,7,4,590
F,16,2,46,Yes,9,9,280
M,15,7,47,Yes,5,8,390
M,14,4,48,No,4,4,310
M,19,8,41,Yes,5,1,330
F,15,9,56,No,7,9,570
M,19,7,91,No,4,3,830
M,18,5,84,No,4,7,690
M,16,8,76,Yes,4,6,710
F,14,4,81,Yes,6,4,620
M,19,2,83,No,7,3,580
F,19,6,56,Yes,6,4,460
M,14,9,92,No,9,6,930
M,17,1,77,No,4,4,480
F,15,7,74,Yes,6,7,680
F,15,9,99,No,5,6,970
F,16,9,86,No,6,6,820
M,16,3,78,No,8,8,570
M,18,5,69,No,9,7,550
M,19,8,45,No,4,7,370
M,18,8,43,Yes,4,5,350
M,14,4,90,Yes,9,6,720
F,16,1,76,No,9,7,510
M,18,1,74,Yes,7,4,500
M,15,4,97,No,5,9,820
M,19,6,96,No,9,1,840
M,15,8,48,No,9,6,460
F,14,6,45,No,7,9,340
M,14,9,52,Yes,9,2,550
M,16,9,98,Yes,6,9,950
M,15,2,61,No,8,7,400
F,16,1,67,Yes,8,5,420
F,14,2,69,No,8,3,450
M,14,5,91,Yes,9,1,800
M,18,4,75,No,8,6,600
M,15,4,41,No,5,0,210
M,18,9,97,No,6,6,950
F,18,8,75,Yes,8,9,720
F,17,6,47,Yes,4,9,350
F,16,1,84,No,9,6,580
F,16,2,81,Yes,6,9,590
F,16,6,89,Yes,5,2,770
M,16,2,48,Yes,8,3,230
F,16,5,40,Yes,5,3,260
M,15,5,52,Yes,9,3,390
F,15,6,89,Yes,8,8,790
M,18,6,54,Yes,4,5,390
M,17,6,71,Yes,6,9,610
M,16,2,73,Yes,4,8,470
M,17,3,82,Yes,8,3,630
F,18,6,70,Yes,7,6,610
M,17,8,53,Yes,6,9,510
F,16,1,93,Yes,5,8,680
F,18,1,86,No,8,9,660
M,18,2,53,No,4,2,290
F,14,6,87,Yes,9,2,780
M,16,9,94,Yes,7,5,940
